WavFileName,grade,canonical_word,decoded_word,label,start_time,end_time,canonical_phone_seq,GT_label,GT_binary,EN_phone_seq_raw,EN_phone_seq_clean,frame_start,frame_end,n_frames,raw_logmax_min,raw_logmax_sum,raw_logmax_mean,temprature_logmax_min,temprature_logmax_sum,temprature_logmax_mean,raw_entropy_min,raw_entropy_sum,raw_entropy_mean,temprature_entropy_min,temprature_entropy_sum,temprature_entropy_mean,normalized_max_prob_min,normalized_max_prob_sum,normalized_max_prob_mean,entropy_gibbs_lin_min,entropy_gibbs_lin_sum,entropy_gibbs_lin_mean,entropy_gibbs_exp_min,entropy_gibbs_exp_sum,entropy_gibbs_exp_mean,entropy_tsallis_lin_min,entropy_tsallis_lin_sum,entropy_tsallis_lin_mean,entropy_tsallis_exp_min,entropy_tsallis_exp_sum,entropy_tsallis_exp_mean,entropy_renyi_lin_min,entropy_renyi_lin_sum,entropy_renyi_lin_mean,entropy_renyi_exp_min,entropy_renyi_exp_sum,entropy_renyi_exp_mean,costed_neglog,lev_dist,n_canon_phones,n_hyp_phones
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,long,<eps>,d,,,L AO NG,s,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,long,long,c,1.14,1.56,L AO NG,c,0,L AO NG *,L AO NG,56,78,22,-0.470361590385437,-1.2324118614196777,-0.05601872131228447,-0.984454870223999,-6.81526517868042,-0.30978477001190186,1.758589678502176e-05,2.1829566955566406,0.09922530502080917,0.5898234844207764,26.499393463134766,1.2045178413391113,0.8199081420898438,21.52311897277832,0.9783235788345337,0.6683343052864075,17.748687744140625,0.8067585229873657,0.003670930163934827,1.4566864967346191,0.06621301919221878,0.8501743078231812,20.67779541015625,0.9398998022079468,0.035837553441524506,7.306251525878906,0.33210232853889465,0.5640639066696167,16.97454833984375,0.7715703845024109,0.17039234936237335,9.482613563537598,0.431027889251709,0.0,0.0,3,3
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,ago,ago,c,1.56,2.01,AH G OW,c,0,AH G OW *,AH G OW,78,101,23,-0.12056398391723633,-0.12185043841600418,-0.005297845229506493,-0.6006817817687988,-4.457993030548096,-0.19382578134536743,3.5220469726482406e-05,0.36848461627960205,0.01602107100188732,0.6405845880508423,22.916025161743164,0.9963489174842834,0.9518013596534729,22.95128059387207,0.9978817701339722,0.7040351033210754,19.205320358276367,0.8350139260292053,0.00671286229044199,1.822697639465332,0.07924772053956985,0.9057305455207825,21.977983474731445,0.9555644989013672,0.12313968688249588,9.354138374328613,0.4067016541957855,0.6711704730987549,18.7028865814209,0.813169002532959,0.2680339813232422,11.289358139038086,0.49084165692329407,0.0,0.0,3,3
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,2.01,2.28,DH AH,c,0,* DH AH *,DH AH,100,114,14,-0.6171526312828064,-0.9328121542930603,-0.06662943959236145,-1.5178033113479614,-6.838021278381348,-0.48843008279800415,0.00017416683840565383,2.1816065311431885,0.1558290421962738,0.834395170211792,22.520906448364258,1.6086361408233643,0.7679046988487244,13.64181137084961,0.974415123462677,0.4997984766960144,10.399028778076172,0.742787778377533,0.0002124385064234957,0.4680945873260498,0.03343532606959343,0.7174152731895447,12.649295806884766,0.9035211205482483,0.001876514870673418,3.0905134677886963,0.22075095772743225,0.39334410429000854,9.721896171569824,0.6944211721420288,0.07796759158372879,4.647499084472656,0.3319642245769501,0.0,0.0,2,2
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,peacock,peacock,c,2.28,2.79,P IY K AA K,c,0,F R IH K AO K *,F R IH K AO K,113,140,27,-0.44379159808158875,-0.5886709094047546,-0.0218026265501976,-0.9403806328773499,-9.478547096252441,-0.3510572910308838,7.729125354671851e-05,1.3227983713150024,0.04899253323674202,0.7353231906890869,38.69130325317383,1.4330111742019653,0.8295268416404724,26.771076202392578,0.9915213584899902,0.5767128467559814,20.94473648071289,0.7757309675216675,0.0007798951119184494,1.005697250366211,0.037248045206069946,0.8139355778694153,25.059709548950195,0.9281373620033264,0.016020366922020912,6.950928211212158,0.25744178891181946,0.50858473777771,19.918216705322266,0.7377117276191711,0.1335323005914688,10.033605575561523,0.3716150224208832,14.537215364168077,4.0,5,6
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,had,had,c,2.79,3.09,HH AE D,c,0,* HH AE D *,HH AE D,139,155,16,-0.44379159808158875,-0.7671190500259399,-0.047944940626621246,-0.7512452602386475,-5.244019031524658,-0.32775118947029114,4.785310011357069e-05,1.5697345733642578,0.09810841083526611,0.729038655757904,20.091537475585938,1.255721092224121,0.8295268416404724,15.701115608215332,0.9813197255134583,0.6782640814781189,12.832844734191895,0.8020527958869934,0.004341954831033945,0.8567444086074829,0.05354652553796768,0.8758928775787354,14.997528076171875,0.9373455047607422,0.06345939636230469,4.858517169952393,0.30365732312202454,0.6095982789993286,12.187334060668945,0.7617083787918091,0.2070765644311905,6.545318603515625,0.40908241271972656,0.0,0.0,3,3
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,a,a,c,3.09,3.21,AH,c,0,* AH,AH,154,161,7,-0.2285996973514557,-0.41504403948783875,-0.059292007237672806,-0.6737475991249084,-2.1691598892211914,-0.30987998843193054,4.7876510507194325e-05,0.9678197503089905,0.13825996220111847,0.633725643157959,7.833687782287598,1.1190983057022095,0.9098281264305115,6.8358893394470215,0.9765556454658508,0.7505964040756226,5.773038864135742,0.8247198462486267,0.0147496173158288,0.49383482336997986,0.07054783403873444,0.902761697769165,6.60901403427124,0.9441448450088501,0.11527948081493378,2.3912837505340576,0.34161195158958435,0.6645327806472778,5.463891983032227,0.7805560231208801,0.26075050234794617,3.079951763153076,0.43999311327934265,0.0,0.0,1,1
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,lovely,lovely,c,3.21,3.69,L AH V L IY,c,0,* L AH V L IY *,L AH V L IY,160,185,25,-0.28335699439048767,-0.6083364486694336,-0.02433345839381218,-1.0572260618209839,-7.184406757354736,-0.2873762845993042,3.448098505032249e-05,1.630974292755127,0.06523897498846054,0.6541485786437988,29.132917404174805,1.1653167009353638,0.8889831900596619,24.759212493896484,0.9903684854507446,0.5736560821533203,20.327728271484375,0.8131091594696045,0.0007406115182675421,1.7715531587600708,0.07086212933063507,0.806800901889801,23.550518035888672,0.9420207142829895,0.0136719373986125,8.686670303344727,0.3474668264389038,0.49863123893737793,19.47036361694336,0.7788145542144775,0.12770842015743256,11.066386222839355,0.44265544414520264,0.0,0.0,5,5
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,voice,voice,c,3.69,4.14,V OY S,c,0,* W OY S *,W OY S,184,207,23,-0.017206208780407906,-0.029804544523358345,-0.0012958497973158956,-0.6456342339515686,-4.678901672363281,-0.20343050360679626,3.280754390289076e-05,0.1755797415971756,0.007633901666849852,0.6360100507736206,23.439931869506836,1.0191274881362915,0.9930320978164673,22.987924575805664,0.9994750022888184,0.6488287448883057,19.11257553100586,0.8309815526008606,0.0026397141627967358,1.8404349088668823,0.08001890778541565,0.8708903193473816,21.928325653076172,0.9534054398536682,0.05678403750061989,9.295177459716797,0.40413814783096313,0.6002624034881592,18.609163284301758,0.8090940713882446,0.19902534782886505,11.214920997619629,0.4876052737236023,0.9200152371878334,1.0,3,3
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,4.14,4.38,AH N D,c,0,AE N D *,AE N D,206,219,13,-0.6632014513015747,-0.6823055148124695,-0.052485041320323944,-0.856541097164154,-3.8133294582366943,-0.2933330237865448,2.319958366570063e-05,0.8060817718505859,0.06200629100203514,0.5998092293739319,15.859971046447754,1.219997763633728,0.7519803643226624,12.744236946105957,0.9803259372711182,0.7153101563453674,10.494702339172363,0.8072847723960876,0.0081225810572505,0.7400718927383423,0.0569286085665226,0.8998736143112183,12.250831604003906,0.942371666431427,0.10811479389667511,4.126828670501709,0.31744834780693054,0.658194899559021,10.047516822814941,0.7728859186172485,0.2539665997028351,5.4905219078063965,0.4223478436470032,2.95656721210025,1.0,3,3
