WavFileName,canonical_word,decoded_word,start_time,end_time,GT_label,costed_neglog,entropy_gibbs_exp_min,miscue_forced,miscue_prob,miscue_label,miscue_pred
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,long,<eps>,,,s,,,1,1.0,1,S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,long,long,1.14,1.56,c,0.0,0.0036709301639348,0,0.170065,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,ago,ago,1.56,2.01,c,0.0,0.0067128622904419,0,0.13149,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,2.01,2.28,c,0.0,0.0002124385064234,0,0.520826,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,peacock,peacock,2.28,2.79,c,14.537215364168077,0.0007798951119184,0,0.932574,1,S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,had,had,2.79,3.09,c,0.0,0.0043419548310339,0,0.171941,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,a,a,3.09,3.21,c,0.0,0.0147496173158288,0,0.035019,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,lovely,lovely,3.21,3.69,c,0.0,0.0007406115182675,0,0.377337,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,voice,voice,3.69,4.14,c,0.9200152371878334,0.0026397141627967,0,0.264961,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,and,and,4.14,4.38,c,2.95656721210025,0.0081225810572505,0,0.099496,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,beautiful,beautiful,4.38,4.95,c,7.293274914435145,0.0014755645534023,0,0.825054,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,feathers,feathers,4.95,5.58,s,2.250333956628733,0.0004961101221852,0,0.567361,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,every,every,5.94,6.39,c,3.56735060199773,0.0026815554592758,0,0.675666,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,day,day,6.39,6.72,c,0.0,0.0054655857384204,0,0.128221,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,he,he,6.72,6.9,c,0.0,0.0025319037958979,0,0.267299,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,walked,walked,6.9,7.47,c,3.8933488049826166,0.0008483477286063,0,0.709299,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,in,in,7.71,8.07,c,0.0,0.0031000636518001,0,0.172023,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,front,front,8.22,8.7,c,0.0,0.0013331531081348,0,0.388764,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,of,of,8.73,9.06,c,4.411563432609308,0.0068923118524253,0,0.228652,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,all,all,9.21,9.57,c,0.0,0.0107678724452853,0,0.052143,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,9.57,10.02,c,0.0,0.0057865832932293,0,0.127876,0,C
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,other,other,10.02,10.47,c,0.0,0.0080041708424687,0,0.105428,0,C
