utterance_id,canonical_word,start_time,end_time,GT_label,costed_neglog,entropy_gibbs_exp_min,miscue_prob,miscue_label,miscue_pred
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,एक,2.34,2.67,c,0.0,0.0026786250527948,0.114792,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,राजा,2.67,3.15,c,0.0,0.0047895801253616,0.063251,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,था,3.15,3.42,c,0.0,0.0026475456543266,0.114792,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,उसका,3.42,4.02,c,0.0,0.0014449022710323,0.269013,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,एक,4.02,4.35,c,0.0,0.0034028925001621,0.097221,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,बडा,4.35,4.74,c,0.0,0.0028581742662936,0.097349,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,सा,4.74,5.16,c,0.0,0.0014374878956004,0.269013,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,राज्य,5.52,6.03,c,0.0,0.001559309544973,0.269013,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,था,6.03,6.3,c,0.0,0.0014545595040544,0.269013,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,एक,6.3,6.6,c,0.0,0.0001793486444512,0.53479,0,C
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,दिन,6.63,6.96,c,22.721100963977992,2.987677873989014e-07,0.964467,1,S
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,उसे,6.96,7.62,s,11.326609890983994,4.2443236452527344e-05,0.931924,1,S
